"Statistic Label","Year","Settlements","UNIT","VALUE"
"Number of New Dwelling Completions","2015","Rathcormac, Co Cork","Number","2"
"Number of New Dwelling Completions","2015","Ballydesmond, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Banteer, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Boherbue, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Dromina, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Kanturk, Co Cork","Number","3"
"Number of New Dwelling Completions","2015","Milford, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Newmarket, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Newtown, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Kinsale, Co Cork","Number","6"
"Number of New Dwelling Completions","2015","Crosshaven-Churchbay, Co Cork","Number","3"
"Number of New Dwelling Completions","2015","Fountainstown, Co Cork","Number","3"
"Number of New Dwelling Completions","2015","Macroom, Co Cork","Number","4"
"Number of New Dwelling Completions","2015","Baile Mhic Íre, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Coachford, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Farran, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Mallow, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballyclogh, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Buttevant, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Doneraile, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Drommahane, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Killavullen, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Liscarroll, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Midleton, Co Cork","Number","4"
"Number of New Dwelling Completions","2015","Aghada-Farsid-Rostellan, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballycotton, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Carrigtwohill, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Castlemartyr, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Cloyne, Co Cork","Number","2"
"Number of New Dwelling Completions","2015","Shanagarry, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Whitegate, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Knocknagree, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Millstreet, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Kildorrery, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Mitchelstown, Co Cork","Number","2"
"Number of New Dwelling Completions","2015","Skibbereen, Co Cork","Number","8"
"Number of New Dwelling Completions","2015","Baltimore, Co Cork","Number","2"
"Number of New Dwelling Completions","2015","Castletownshend, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Drimoleague, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Leap, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Unionhall, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballydehob, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Schull, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Youghal, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Killeagh, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Knockglass, Co Cork","Number","21"
"Number of New Dwelling Completions","2015","Rathard-Aherla, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Belgooly, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballygarvan, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Knockraha, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Whitechurch, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Carrignavar, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Cloughduv, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Kilbrittain, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Churchtown, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Clondrohid, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Bweeng, Co Cork","Number","1"
"Number of New Dwelling Completions","2015","Grenagh, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Glenville, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Clondulane, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballynoe, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Mogeely, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballymacoda, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Saleen, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Shanbally, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Riverstick, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Halfway, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Crossbarry, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Ballinspittle, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Dunderrow, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Lyre, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Rathcoole, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Castlemagner, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Kilbrin, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Freemount, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Shanballymore, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Kilcrohane, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Courtbrack, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Glengarriff, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","New Twopothouse, Co Cork","Number","0"
"Number of New Dwelling Completions","2015","Cahirciveen, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Glenbeigh, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Knightstown, Co Kerry","Number","1"
"Number of New Dwelling Completions","2015","Waterville-Spunkane, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Annascaul, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Castlegregory, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Dingle-Daingean Uí Chuis, Co Kerry","Number","2"
"Number of New Dwelling Completions","2015","Kenmare, Co Kerry","Number","1"
"Number of New Dwelling Completions","2015","Kilgarvan, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Sneem, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Killarney, Co Kerry","Number","6"
"Number of New Dwelling Completions","2015","Cromane, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Gneevgullia, Co Kerry","Number","1"
"Number of New Dwelling Completions","2015","Killorglin, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Milltown, Co Kerry","Number","7"
"Number of New Dwelling Completions","2015","Rathmore, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Listowel, Co Kerry","Number","2"
"Number of New Dwelling Completions","2015","Ballybunion, Co Kerry","Number","2"
"Number of New Dwelling Completions","2015","Ballyduff, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","BallyLongford, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Causeway, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Lixnaw, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Newtownsandes, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Tarbert, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Tralee, Co Kerry","Number","17"
"Number of New Dwelling Completions","2015","Abbeydorney, Co Kerry","Number","1"
"Number of New Dwelling Completions","2015","Ardfert, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Ballyheigue, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Brosna, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Castleisland, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Fenit, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Spa, Co Kerry","Number","2"
"Number of New Dwelling Completions","2015","Beaufort, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Kilcummin, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Castlemaine, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Fieries, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Kilflynn, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Duagh, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Portmagee, Co Kerry","Number","0"
"Number of New Dwelling Completions","2015","Adare, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Ballingarry, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Croom, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Glin, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Bruff, Co Limerick","Number","2"
"Number of New Dwelling Completions","2015","Bruree, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Hospital, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Kilfinane, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Kilmallock, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Knocklong, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Annacotty, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Caherconlish, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Cappamore, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Castleconnell, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Moroe, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Mungret, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Patrickswell, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Ballylanders, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Galbally, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Abbeyfeale, Co Limerick","Number","2"
"Number of New Dwelling Completions","2015","Ardagh, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Athea, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Broadford, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Drumcollogher, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Mountcollins, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Newcastle West, Co Limerick","Number","6"
"Number of New Dwelling Completions","2015","Askeaton, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Foynes, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Pallaskenry, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Rathkeale, Co Limerick","Number","10"
"Number of New Dwelling Completions","2015","Shanagolden, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Doon, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Oola, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Pallasgreen, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Ballyagran, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Glen, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","CarrigKerry, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Kilteely, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Clarina, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Fedamore, Co Limerick","Number","1"
"Number of New Dwelling Completions","2015","Ballyhahill, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Kildimo, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Croagh, Co Limerick","Number","3"
"Number of New Dwelling Completions","2015","Toornafulla, Co Limerick","Number","0"
"Number of New Dwelling Completions","2015","Borrisokane, Co Tipperary","Number","6"
"Number of New Dwelling Completions","2015","Cloughjordan, Co Tipperary","Number","1"
"Number of New Dwelling Completions","2015","Nenagh, Co Tipperary","Number","5"
"Number of New Dwelling Completions","2015","Ballina, Co Tipperary","Number","2"
"Number of New Dwelling Completions","2015","Newport, Co Tipperary","Number","2"
"Number of New Dwelling Completions","2015","Portroe, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Puckaun, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Toomevara, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Roscrea, Co Tipperary","Number","2"
"Number of New Dwelling Completions","2015","Templemore, Co Tipperary","Number","2"
"Number of New Dwelling Completions","2015","Thurles, Co Tipperary","Number","2"
"Number of New Dwelling Completions","2015","Borrisoleigh, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Littleton, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Templetuohy, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Silvermines, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Twomileborris, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Reardnogy, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Newtown, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Dromineer, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Cashel, Co Tipperary","Number","1"
"Number of New Dwelling Completions","2015","Dundrum, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Fethard, Co Tipperary","Number","1"
"Number of New Dwelling Completions","2015","Killenaule, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Ardfinnan, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Ballyporeen, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Cahir, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Clogheen, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Newcastle, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Kilsheelan, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Mullinahone, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Tipperary, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Bansha, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Cappawhite, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Emly, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Golden, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Ballingarry, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Gortnahoo, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Ballyclerahan, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Rosegreen, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Monard, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Donaskeigh, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Lisronagh, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Ballynonty, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","The Commons, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Drangan, Co Tipperary","Number","0"
"Number of New Dwelling Completions","2015","Boherlahan, Co Tipperary","Number","1"
"Number of New Dwelling Completions","2015","Portlaw, Co Waterford","Number","3"
"Number of New Dwelling Completions","2015","Dungarvan, Co Waterford","Number","14"
"Number of New Dwelling Completions","2015","Ballinroad, Co Waterford","Number","1"
"Number of New Dwelling Completions","2015","An Rinn, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Kilmacthomas, Co Waterford","Number","1"
"Number of New Dwelling Completions","2015","Lemybrien, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Stradbally, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Cappoquin, Co Waterford","Number","1"
"Number of New Dwelling Completions","2015","Lismore, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Tallow, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Cheekpoint, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Dunmore East, Co Waterford","Number","2"
"Number of New Dwelling Completions","2015","Passage East, Co Waterford","Number","1"
"Number of New Dwelling Completions","2015","Tramore, Co Waterford","Number","3"
"Number of New Dwelling Completions","2015","Ardmore, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Kill, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Villierstown, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Clashmore, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Aglish, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Dunhill, Co Waterford","Number","1"
"Number of New Dwelling Completions","2015","Ballymacarbry, Co Waterford","Number","0"
"Number of New Dwelling Completions","2015","Kilmeaden, Co Waterford","Number","8"
"Number of New Dwelling Completions","2015","Ahascragh, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Clifden, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Roundstone, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Cluain Bú, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Cill Rónáin Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Maigh Cuilinn, Co Galway","Number","3"
"Number of New Dwelling Completions","2015","Oranmore, Co Galway","Number","13"
"Number of New Dwelling Completions","2015","Glenamaddy, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Gort, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Kinvara, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Athenry, Co Galway","Number","6"
"Number of New Dwelling Completions","2015","Craughwell, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Loughrea, Co Galway","Number","7"
"Number of New Dwelling Completions","2015","Woodford, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Ballygar, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Moylough, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Mount Bellew, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","An Cheathrú Rua, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Oughterard, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Eyrecourt, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Killimor, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Portumna, Co Galway","Number","2"
"Number of New Dwelling Completions","2015","Dunmore, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Headford, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Monivea, Co Galway","Number","2"
"Number of New Dwelling Completions","2015","Tuam, Co Galway","Number","6"
"Number of New Dwelling Completions","2015","Clarinbridge, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Lackaghbeg, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Baile Chláir, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Na Forbacha, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","An Spidéal, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Rosscahill, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Corrofin, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Annaghdown, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Williamstown, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Milltown, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Bearna, Co Galway","Number","3"
"Number of New Dwelling Completions","2015","Corrandulla, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Ballinderreen, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Kilcolgan, Co Galway","Number","1"
"Number of New Dwelling Completions","2015","Turloughmore, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Abbeyknockmoy, Co Galway","Number","0"
"Number of New Dwelling Completions","2015","Ballinamore, Co Leitrim","Number","1"
"Number of New Dwelling Completions","2015","Drumshanbo, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Drumsna, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Kinlough, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Dromahair, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Drumkeeran, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Manorhamilton, Co Leitrim","Number","3"
"Number of New Dwelling Completions","2015","Carrigallen, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Mohill, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Tullaghan, Co Leitrim","Number","2"
"Number of New Dwelling Completions","2015","Leitrim, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Drumod, Co Leitrim","Number","0"
"Number of New Dwelling Completions","2015","Keshcarrigan, Co Leitrim","Number","3"
"Number of New Dwelling Completions","2015","Ballina, Co Mayo","Number","7"
"Number of New Dwelling Completions","2015","Ballycastle, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Crossmolina, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Foxford, Co Mayo","Number","4"
"Number of New Dwelling Completions","2015","Killala, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Ballinrobe, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Shrule, Co Mayo","Number","1"
"Number of New Dwelling Completions","2015","Bangor Erris, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Béal An Mhuirthead, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Castlebar, Co Mayo","Number","3"
"Number of New Dwelling Completions","2015","Balla, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Ballindine, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Ballyhaunis, Co Mayo","Number","2"
"Number of New Dwelling Completions","2015","Claremorris, Co Mayo","Number","4"
"Number of New Dwelling Completions","2015","Knock, Co Mayo","Number","1"
"Number of New Dwelling Completions","2015","Kilkelly, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Kiltimagh, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Swinford, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Westport, Co Mayo","Number","7"
"Number of New Dwelling Completions","2015","Keel-Dooagh, Co Mayo","Number","3"
"Number of New Dwelling Completions","2015","Louisburgh, Co Mayo","Number","1"
"Number of New Dwelling Completions","2015","Newport, Co Mayo","Number","3"
"Number of New Dwelling Completions","2015","Gob An Choire, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Kilmaine, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Bunnyconnelan West, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Bellavary, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Mulranny, Co Mayo","Number","1"
"Number of New Dwelling Completions","2015","Belcarra, Co Mayo","Number","1"
"Number of New Dwelling Completions","2015","Lahardane, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Turlough, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Bohola, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Irishtown, Co Mayo","Number","2"
"Number of New Dwelling Completions","2015","Dumha Thuama, Co Mayo","Number","0"
"Number of New Dwelling Completions","2015","Ballyfarnan, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Boyle, Co Roscommon","Number","4"
"Number of New Dwelling Completions","2015","Ballaghaderreen, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Ballinlough, Co Roscommon","Number","1"
"Number of New Dwelling Completions","2015","Castlerea, Co Roscommon","Number","5"
"Number of New Dwelling Completions","2015","Frenchpark, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Loughglinn, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Clontuskert, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Elphin, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Roscommon, Co Roscommon","Number","5"
"Number of New Dwelling Completions","2015","Strokestown, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Keadew, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Bellanagare, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Cloonfad, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Ballyforan, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Ballinameen, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Tulsk, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Ballintober, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Termonbarry, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Athleague, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Knockcroghery, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Cootehall, Co Roscommon","Number","0"
"Number of New Dwelling Completions","2015","Gurteen, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Easky, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Inniscrone, Co Sligo","Number","2"
"Number of New Dwelling Completions","2015","Sligo, Co Sligo","Number","10"
"Number of New Dwelling Completions","2015","Ballincar, Co Sligo","Number","1"
"Number of New Dwelling Completions","2015","Ballisodare, Co Sligo","Number","1"
"Number of New Dwelling Completions","2015","Ballymote, Co Sligo","Number","3"
"Number of New Dwelling Completions","2015","Cliffoney, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Collooney, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Mullaghmore, Co Sligo","Number","1"
"Number of New Dwelling Completions","2015","Riverstown, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Rosses Point, Co Sligo","Number","1"
"Number of New Dwelling Completions","2015","Strandhill, Co Sligo","Number","3"
"Number of New Dwelling Completions","2015","Tubbercurry, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Grange, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Coolaney, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Ballintogher, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Ballygawley, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Carney, Co Sligo","Number","1"
"Number of New Dwelling Completions","2015","Dromore West, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Ballinacarrow, Co Sligo","Number","0"
"Number of New Dwelling Completions","2015","Bailieborough, Co Cavan","Number","3"
"Number of New Dwelling Completions","2015","Kingscourt, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Mullagh, Co Cavan","Number","6"
"Number of New Dwelling Completions","2015","Shercock, Co Cavan","Number","1"
"Number of New Dwelling Completions","2015","Ballyconnell, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Swanlinbar, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Ballyjamesduff, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Virginia, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Cavan, Co Cavan","Number","10"
"Number of New Dwelling Completions","2015","Arva, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Ballinagh, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Ballyhaise, Co Cavan","Number","1"
"Number of New Dwelling Completions","2015","Belturbet, Co Cavan","Number","3"
"Number of New Dwelling Completions","2015","Butlersbridge, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Cootehill, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Killeshandra, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Kilnaleck, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Blacklion, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Lough Gowna, Co Cavan","Number","0"
"Number of New Dwelling Completions","2015","Bundoran, Co Donegal","Number","8"
"Number of New Dwelling Completions","2015","Ballintra, Co Donegal","Number","0"
"Number of New Dwelling Completions","2015","Ballyshannon, Co Donegal","Number","1"
