"Statistic Label","Year","Settlements","UNIT","VALUE"
"Number of New Dwelling Completions","2012","Ballyragget, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Castlecomer-Donaguile, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Clogh-Chatsworth, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Moneenroe, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Kilkenny, Co Kilkenny","Number","25"
"Number of New Dwelling Completions","2012","Freshford, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Gowran, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Bennettsbridge, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Goresbridge, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Inistioge, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Thomastown, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Johnstown, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Urlingford, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Kilmacow, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Mooncoin, Co Kilkenny","Number","1"
"Number of New Dwelling Completions","2012","Mullinavat, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Slieverue, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Paulstown, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Kells, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Lawcus-Stoneyford, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Fiddown, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Knocktopher, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Ballyhale, Co Kilkenny","Number","0"
"Number of New Dwelling Completions","2012","Abbeyleix, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Ballinakill, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Castletown, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Durrow, Co Laois","Number","2"
"Number of New Dwelling Completions","2012","Rathdowney, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Ballylinan, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Stradbally, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Clonaslee, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Mountmellick, Co Laois","Number","2"
"Number of New Dwelling Completions","2012","Mountrath, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Portlaoise (formerly Maryborough), Co Laois","Number","15"
"Number of New Dwelling Completions","2012","Borris-In-Ossory, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Newtown, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Ballyroan, Co Laois","Number","1"
"Number of New Dwelling Completions","2012","Emo, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Ballycolla, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Errill, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Killenard, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Ballybrittas, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","The Swan, Co Laois","Number","0"
"Number of New Dwelling Completions","2012","Ballymahon, Co Longford","Number","2"
"Number of New Dwelling Completions","2012","Keenagh, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Granard, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Meathas Truim (Edgeworthstown), Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Longford, Co Longford","Number","35"
"Number of New Dwelling Completions","2012","Drumlish, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Newtownforbes, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Ballinalee, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Legan, Co Longford","Number","0"
