"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19992","1999Q2","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19992","1999Q2","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19992","1999Q2","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19993","1999Q3","-","All types of construction","Number",""
"BHQ03C1","Planning Permissions Granted","19993","1999Q3","11","Dwellings","Number","6517"
"BHQ03C1","Planning Permissions Granted","19993","1999Q3","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19993","1999Q3","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19993","1999Q3","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","19994","1999Q4","-","All types of construction","Number",""
"BHQ03C1","Planning Permissions Granted","19994","1999Q4","11","Dwellings","Number","6203"
"BHQ03C1","Planning Permissions Granted","19994","1999Q4","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","19994","1999Q4","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","19994","1999Q4","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","20001","2000Q1","-","All types of construction","Number",""
"BHQ03C1","Planning Permissions Granted","20001","2000Q1","11","Dwellings","Number","6630"
"BHQ03C1","Planning Permissions Granted","20001","2000Q1","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","20001","2000Q1","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","20001","2000Q1","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","20002","2000Q2","-","All types of construction","Number",""
"BHQ03C1","Planning Permissions Granted","20002","2000Q2","11","Dwellings","Number","6597"
"BHQ03C1","Planning Permissions Granted","20002","2000Q2","12","Other new construction (excluding dwellings)","Number",""
"BHQ03C1","Planning Permissions Granted","20002","2000Q2","2","Extensions","Number",""
"BHQ03C1","Planning Permissions Granted","20002","2000Q2","3","Alteration, conversion and renovation","Number",""
"BHQ03C1","Planning Permissions Granted","20003","2000Q3","-","All types of construction","Number","13310"
"BHQ03C1","Planning Permissions Granted","20003","2000Q3","11","Dwellings","Number","6893"
"BHQ03C1","Planning Permissions Granted","20003","2000Q3","12","Other new construction (excluding dwellings)","Number","1449"
"BHQ03C1","Planning Permissions Granted","20003","2000Q3","2","Extensions","Number","4206"
"BHQ03C1","Planning Permissions Granted","20003","2000Q3","3","Alteration, conversion and renovation","Number","762"
"BHQ03C1","Planning Permissions Granted","20004","2000Q4","-","All types of construction","Number","11265"
"BHQ03C1","Planning Permissions Granted","20004","2000Q4","11","Dwellings","Number","6212"
"BHQ03C1","Planning Permissions Granted","20004","2000Q4","12","Other new construction (excluding dwellings)","Number","1354"
"BHQ03C1","Planning Permissions Granted","20004","2000Q4","2","Extensions","Number","3087"
"BHQ03C1","Planning Permissions Granted","20004","2000Q4","3","Alteration, conversion and renovation","Number","612"
"BHQ03C1","Planning Permissions Granted","20011","2001Q1","-","All types of construction","Number","11448"
"BHQ03C1","Planning Permissions Granted","20011","2001Q1","11","Dwellings","Number","6333"
"BHQ03C1","Planning Permissions Granted","20011","2001Q1","12","Other new construction (excluding dwellings)","Number","1455"
"BHQ03C1","Planning Permissions Granted","20011","2001Q1","2","Extensions","Number","2986"
"BHQ03C1","Planning Permissions Granted","20011","2001Q1","3","Alteration, conversion and renovation","Number","674"
"BHQ03C1","Planning Permissions Granted","20012","2001Q2","-","All types of construction","Number","10672"
"BHQ03C1","Planning Permissions Granted","20012","2001Q2","11","Dwellings","Number","5538"
"BHQ03C1","Planning Permissions Granted","20012","2001Q2","12","Other new construction (excluding dwellings)","Number","1465"
"BHQ03C1","Planning Permissions Granted","20012","2001Q2","2","Extensions","Number","3030"
"BHQ03C1","Planning Permissions Granted","20012","2001Q2","3","Alteration, conversion and renovation","Number","639"
"BHQ03C1","Planning Permissions Granted","20013","2001Q3","-","All types of construction","Number","12329"
"BHQ03C1","Planning Permissions Granted","20013","2001Q3","11","Dwellings","Number","6157"
"BHQ03C1","Planning Permissions Granted","20013","2001Q3","12","Other new construction (excluding dwellings)","Number","1671"
"BHQ03C1","Planning Permissions Granted","20013","2001Q3","2","Extensions","Number","3715"
"BHQ03C1","Planning Permissions Granted","20013","2001Q3","3","Alteration, conversion and renovation","Number","786"
"BHQ03C1","Planning Permissions Granted","20014","2001Q4","-","All types of construction","Number","11051"
"BHQ03C1","Planning Permissions Granted","20014","2001Q4","11","Dwellings","Number","5585"
"BHQ03C1","Planning Permissions Granted","20014","2001Q4","12","Other new construction (excluding dwellings)","Number","1606"
"BHQ03C1","Planning Permissions Granted","20014","2001Q4","2","Extensions","Number","3106"
"BHQ03C1","Planning Permissions Granted","20014","2001Q4","3","Alteration, conversion and renovation","Number","754"
"BHQ03C1","Planning Permissions Granted","20021","2002Q1","-","All types of construction","Number","10236"
"BHQ03C1","Planning Permissions Granted","20021","2002Q1","11","Dwellings","Number","5025"
"BHQ03C1","Planning Permissions Granted","20021","2002Q1","12","Other new construction (excluding dwellings)","Number","1512"
"BHQ03C1","Planning Permissions Granted","20021","2002Q1","2","Extensions","Number","2843"
"BHQ03C1","Planning Permissions Granted","20021","2002Q1","3","Alteration, conversion and renovation","Number","856"
"BHQ03C1","Planning Permissions Granted","20022","2002Q2","-","All types of construction","Number","9444"
"BHQ03C1","Planning Permissions Granted","20022","2002Q2","11","Dwellings","Number","4547"
"BHQ03C1","Planning Permissions Granted","20022","2002Q2","12","Other new construction (excluding dwellings)","Number","1349"
"BHQ03C1","Planning Permissions Granted","20022","2002Q2","2","Extensions","Number","2883"
"BHQ03C1","Planning Permissions Granted","20022","2002Q2","3","Alteration, conversion and renovation","Number","665"
"BHQ03C1","Planning Permissions Granted","20023","2002Q3","-","All types of construction","Number","11654"
"BHQ03C1","Planning Permissions Granted","20023","2002Q3","11","Dwellings","Number","5502"
"BHQ03C1","Planning Permissions Granted","20023","2002Q3","12","Other new construction (excluding dwellings)","Number","1691"
"BHQ03C1","Planning Permissions Granted","20023","2002Q3","2","Extensions","Number","3704"
"BHQ03C1","Planning Permissions Granted","20023","2002Q3","3","Alteration, conversion and renovation","Number","757"
"BHQ03C1","Planning Permissions Granted","20024","2002Q4","-","All types of construction","Number","9566"
"BHQ03C1","Planning Permissions Granted","20024","2002Q4","11","Dwellings","Number","4654"
"BHQ03C1","Planning Permissions Granted","20024","2002Q4","12","Other new construction (excluding dwellings)","Number","1374"
"BHQ03C1","Planning Permissions Granted","20024","2002Q4","2","Extensions","Number","2892"
"BHQ03C1","Planning Permissions Granted","20024","2002Q4","3","Alteration, conversion and renovation","Number","646"
"BHQ03C1","Planning Permissions Granted","20031","2003Q1","-","All types of construction","Number","9482"
"BHQ03C1","Planning Permissions Granted","20031","2003Q1","11","Dwellings","Number","4846"
"BHQ03C1","Planning Permissions Granted","20031","2003Q1","12","Other new construction (excluding dwellings)","Number","1278"
"BHQ03C1","Planning Permissions Granted","20031","2003Q1","2","Extensions","Number","2713"
"BHQ03C1","Planning Permissions Granted","20031","2003Q1","3","Alteration, conversion and renovation","Number","645"
"BHQ03C1","Planning Permissions Granted","20032","2003Q2","-","All types of construction","Number","10355"
"BHQ03C1","Planning Permissions Granted","20032","2003Q2","11","Dwellings","Number","5110"
"BHQ03C1","Planning Permissions Granted","20032","2003Q2","12","Other new construction (excluding dwellings)","Number","1465"
"BHQ03C1","Planning Permissions Granted","20032","2003Q2","2","Extensions","Number","3103"
"BHQ03C1","Planning Permissions Granted","20032","2003Q2","3","Alteration, conversion and renovation","Number","677"
"BHQ03C1","Planning Permissions Granted","20033","2003Q3","-","All types of construction","Number","11422"
"BHQ03C1","Planning Permissions Granted","20033","2003Q3","11","Dwellings","Number","5583"
"BHQ03C1","Planning Permissions Granted","20033","2003Q3","12","Other new construction (excluding dwellings)","Number","1693"
"BHQ03C1","Planning Permissions Granted","20033","2003Q3","2","Extensions","Number","3457"
"BHQ03C1","Planning Permissions Granted","20033","2003Q3","3","Alteration, conversion and renovation","Number","689"
"BHQ03C1","Planning Permissions Granted","20034","2003Q4","-","All types of construction","Number","10358"
"BHQ03C1","Planning Permissions Granted","20034","2003Q4","11","Dwellings","Number","5410"
"BHQ03C1","Planning Permissions Granted","20034","2003Q4","12","Other new construction (excluding dwellings)","Number","1496"
"BHQ03C1","Planning Permissions Granted","20034","2003Q4","2","Extensions","Number","2886"
"BHQ03C1","Planning Permissions Granted","20034","2003Q4","3","Alteration, conversion and renovation","Number","566"
"BHQ03C1","Planning Permissions Granted","20041","2004Q1","-","All types of construction","Number","11839"
"BHQ03C1","Planning Permissions Granted","20041","2004Q1","11","Dwellings","Number","6887"
"BHQ03C1","Planning Permissions Granted","20041","2004Q1","12","Other new construction (excluding dwellings)","Number","1545"
"BHQ03C1","Planning Permissions Granted","20041","2004Q1","2","Extensions","Number","2820"
"BHQ03C1","Planning Permissions Granted","20041","2004Q1","3","Alteration, conversion and renovation","Number","587"
"BHQ03C1","Planning Permissions Granted","20042","2004Q2","-","All types of construction","Number","13386"
"BHQ03C1","Planning Permissions Granted","20042","2004Q2","11","Dwellings","Number","7563"
"BHQ03C1","Planning Permissions Granted","20042","2004Q2","12","Other new construction (excluding dwellings)","Number","1660"
"BHQ03C1","Planning Permissions Granted","20042","2004Q2","2","Extensions","Number","3511"
"BHQ03C1","Planning Permissions Granted","20042","2004Q2","3","Alteration, conversion and renovation","Number","652"
"BHQ03C1","Planning Permissions Granted","20043","2004Q3","-","All types of construction","Number","13806"
"BHQ03C1","Planning Permissions Granted","20043","2004Q3","11","Dwellings","Number","7100"
"BHQ03C1","Planning Permissions Granted","20043","2004Q3","12","Other new construction (excluding dwellings)","Number","1899"
"BHQ03C1","Planning Permissions Granted","20043","2004Q3","2","Extensions","Number","4076"
"BHQ03C1","Planning Permissions Granted","20043","2004Q3","3","Alteration, conversion and renovation","Number","731"
"BHQ03C1","Planning Permissions Granted","20044","2004Q4","-","All types of construction","Number","11241"
"BHQ03C1","Planning Permissions Granted","20044","2004Q4","11","Dwellings","Number","5962"
"BHQ03C1","Planning Permissions Granted","20044","2004Q4","12","Other new construction (excluding dwellings)","Number","1613"
"BHQ03C1","Planning Permissions Granted","20044","2004Q4","2","Extensions","Number","3061"
"BHQ03C1","Planning Permissions Granted","20044","2004Q4","3","Alteration, conversion and renovation","Number","605"
"BHQ03C1","Planning Permissions Granted","20051","2005Q1","-","All types of construction","Number","11355"
"BHQ03C1","Planning Permissions Granted","20051","2005Q1","11","Dwellings","Number","6170"
"BHQ03C1","Planning Permissions Granted","20051","2005Q1","12","Other new construction (excluding dwellings)","Number","1571"
"BHQ03C1","Planning Permissions Granted","20051","2005Q1","2","Extensions","Number","3028"
"BHQ03C1","Planning Permissions Granted","20051","2005Q1","3","Alteration, conversion and renovation","Number","586"
"BHQ03C1","Planning Permissions Granted","20052","2005Q2","-","All types of construction","Number","13307"
"BHQ03C1","Planning Permissions Granted","20052","2005Q2","11","Dwellings","Number","6722"
"BHQ03C1","Planning Permissions Granted","20052","2005Q2","12","Other new construction (excluding dwellings)","Number","2068"
"BHQ03C1","Planning Permissions Granted","20052","2005Q2","2","Extensions","Number","3845"
"BHQ03C1","Planning Permissions Granted","20052","2005Q2","3","Alteration, conversion and renovation","Number","672"
"BHQ03C1","Planning Permissions Granted","20053","2005Q3","-","All types of construction","Number","13928"
"BHQ03C1","Planning Permissions Granted","20053","2005Q3","11","Dwellings","Number","6485"
"BHQ03C1","Planning Permissions Granted","20053","2005Q3","12","Other new construction (excluding dwellings)","Number","2189"
"BHQ03C1","Planning Permissions Granted","20053","2005Q3","2","Extensions","Number","4476"
"BHQ03C1","Planning Permissions Granted","20053","2005Q3","3","Alteration, conversion and renovation","Number","778"
"BHQ03C1","Planning Permissions Granted","20054","2005Q4","-","All types of construction","Number","12014"
"BHQ03C1","Planning Permissions Granted","20054","2005Q4","11","Dwellings","Number","5957"
"BHQ03C1","Planning Permissions Granted","20054","2005Q4","12","Other new construction (excluding dwellings)","Number","1871"
"BHQ03C1","Planning Permissions Granted","20054","2005Q4","2","Extensions","Number","3533"
"BHQ03C1","Planning Permissions Granted","20054","2005Q4","3","Alteration, conversion and renovation","Number","653"
"BHQ03C1","Planning Permissions Granted","20061","2006Q1","-","All types of construction","Number","11890"
"BHQ03C1","Planning Permissions Granted","20061","2006Q1","11","Dwellings","Number","5890"
"BHQ03C1","Planning Permissions Granted","20061","2006Q1","12","Other new construction (excluding dwellings)","Number","1822"
"BHQ03C1","Planning Permissions Granted","20061","2006Q1","2","Extensions","Number","3575"
"BHQ03C1","Planning Permissions Granted","20061","2006Q1","3","Alteration, conversion and renovation","Number","603"
"BHQ03C1","Planning Permissions Granted","20062","2006Q2","-","All types of construction","Number","12892"
"BHQ03C1","Planning Permissions Granted","20062","2006Q2","11","Dwellings","Number","5595"
"BHQ03C1","Planning Permissions Granted","20062","2006Q2","12","Other new construction (excluding dwellings)","Number","2494"
"BHQ03C1","Planning Permissions Granted","20062","2006Q2","2","Extensions","Number","4137"
"BHQ03C1","Planning Permissions Granted","20062","2006Q2","3","Alteration, conversion and renovation","Number","666"
"BHQ03C1","Planning Permissions Granted","20063","2006Q3","-","All types of construction","Number","14515"
"BHQ03C1","Planning Permissions Granted","20063","2006Q3","11","Dwellings","Number","6035"
"BHQ03C1","Planning Permissions Granted","20063","2006Q3","12","Other new construction (excluding dwellings)","Number","2965"
"BHQ03C1","Planning Permissions Granted","20063","2006Q3","2","Extensions","Number","4759"
"BHQ03C1","Planning Permissions Granted","20063","2006Q3","3","Alteration, conversion and renovation","Number","756"
"BHQ03C1","Planning Permissions Granted","20064","2006Q4","-","All types of construction","Number","12962"
"BHQ03C1","Planning Permissions Granted","20064","2006Q4","11","Dwellings","Number","5254"
"BHQ03C1","Planning Permissions Granted","20064","2006Q4","12","Other new construction (excluding dwellings)","Number","3172"
"BHQ03C1","Planning Permissions Granted","20064","2006Q4","2","Extensions","Number","3883"
"BHQ03C1","Planning Permissions Granted","20064","2006Q4","3","Alteration, conversion and renovation","Number","653"
"BHQ03C1","Planning Permissions Granted","20071","2007Q1","-","All types of construction","Number","15388"
"BHQ03C1","Planning Permissions Granted","20071","2007Q1","11","Dwellings","Number","5709"
"BHQ03C1","Planning Permissions Granted","20071","2007Q1","12","Other new construction (excluding dwellings)","Number","4995"
"BHQ03C1","Planning Permissions Granted","20071","2007Q1","2","Extensions","Number","4033"
"BHQ03C1","Planning Permissions Granted","20071","2007Q1","3","Alteration, conversion and renovation","Number","651"
"BHQ03C1","Planning Permissions Granted","20072","2007Q2","-","All types of construction","Number","17311"
"BHQ03C1","Planning Permissions Granted","20072","2007Q2","11","Dwellings","Number","5636"
"BHQ03C1","Planning Permissions Granted","20072","2007Q2","12","Other new construction (excluding dwellings)","Number","6229"
"BHQ03C1","Planning Permissions Granted","20072","2007Q2","2","Extensions","Number","4751"
"BHQ03C1","Planning Permissions Granted","20072","2007Q2","3","Alteration, conversion and renovation","Number","695"
"BHQ03C1","Planning Permissions Granted","20073","2007Q3","-","All types of construction","Number","17338"
"BHQ03C1","Planning Permissions Granted","20073","2007Q3","11","Dwellings","Number","5880"
"BHQ03C1","Planning Permissions Granted","20073","2007Q3","12","Other new construction (excluding dwellings)","Number","5411"
"BHQ03C1","Planning Permissions Granted","20073","2007Q3","2","Extensions","Number","5210"
"BHQ03C1","Planning Permissions Granted","20073","2007Q3","3","Alteration, conversion and renovation","Number","837"
"BHQ03C1","Planning Permissions Granted","20074","2007Q4","-","All types of construction","Number","12330"
"BHQ03C1","Planning Permissions Granted","20074","2007Q4","11","Dwellings","Number","5028"
"BHQ03C1","Planning Permissions Granted","20074","2007Q4","12","Other new construction (excluding dwellings)","Number","2767"
"BHQ03C1","Planning Permissions Granted","20074","2007Q4","2","Extensions","Number","3841"
"BHQ03C1","Planning Permissions Granted","20074","2007Q4","3","Alteration, conversion and renovation","Number","694"
"BHQ03C1","Planning Permissions Granted","20081","2008Q1","-","All types of construction","Number","11055"
"BHQ03C1","Planning Permissions Granted","20081","2008Q1","11","Dwellings","Number","4777"
"BHQ03C1","Planning Permissions Granted","20081","2008Q1","12","Other new construction (excluding dwellings)","Number","2104"
"BHQ03C1","Planning Permissions Granted","20081","2008Q1","2","Extensions","Number","3523"
"BHQ03C1","Planning Permissions Granted","20081","2008Q1","3","Alteration, conversion and renovation","Number","651"
"BHQ03C1","Planning Permissions Granted","20082","2008Q2","-","All types of construction","Number","11215"
"BHQ03C1","Planning Permissions Granted","20082","2008Q2","11","Dwellings","Number","4722"
"BHQ03C1","Planning Permissions Granted","20082","2008Q2","12","Other new construction (excluding dwellings)","Number","2050"
"BHQ03C1","Planning Permissions Granted","20082","2008Q2","2","Extensions","Number","3743"
"BHQ03C1","Planning Permissions Granted","20082","2008Q2","3","Alteration, conversion and renovation","Number","700"
"BHQ03C1","Planning Permissions Granted","20083","2008Q3","-","All types of construction","Number","10904"
"BHQ03C1","Planning Permissions Granted","20083","2008Q3","11","Dwellings","Number","4253"
"BHQ03C1","Planning Permissions Granted","20083","2008Q3","12","Other new construction (excluding dwellings)","Number","1774"
"BHQ03C1","Planning Permissions Granted","20083","2008Q3","2","Extensions","Number","4166"
"BHQ03C1","Planning Permissions Granted","20083","2008Q3","3","Alteration, conversion and renovation","Number","711"
"BHQ03C1","Planning Permissions Granted","20084","2008Q4","-","All types of construction","Number","8977"
"BHQ03C1","Planning Permissions Granted","20084","2008Q4","11","Dwellings","Number","3739"
"BHQ03C1","Planning Permissions Granted","20084","2008Q4","12","Other new construction (excluding dwellings)","Number","1616"
"BHQ03C1","Planning Permissions Granted","20084","2008Q4","2","Extensions","Number","3003"
"BHQ03C1","Planning Permissions Granted","20084","2008Q4","3","Alteration, conversion and renovation","Number","619"
"BHQ03C1","Planning Permissions Granted","20091","2009Q1","-","All types of construction","Number","7486"
"BHQ03C1","Planning Permissions Granted","20091","2009Q1","11","Dwellings","Number","3275"
"BHQ03C1","Planning Permissions Granted","20091","2009Q1","12","Other new construction (excluding dwellings)","Number","1231"
"BHQ03C1","Planning Permissions Granted","20091","2009Q1","2","Extensions","Number","2499"
"BHQ03C1","Planning Permissions Granted","20091","2009Q1","3","Alteration, conversion and renovation","Number","481"
"BHQ03C1","Planning Permissions Granted","20092","2009Q2","-","All types of construction","Number","6756"
"BHQ03C1","Planning Permissions Granted","20092","2009Q2","11","Dwellings","Number","2689"
"BHQ03C1","Planning Permissions Granted","20092","2009Q2","12","Other new construction (excluding dwellings)","Number","1158"
"BHQ03C1","Planning Permissions Granted","20092","2009Q2","2","Extensions","Number","2405"
"BHQ03C1","Planning Permissions Granted","20092","2009Q2","3","Alteration, conversion and renovation","Number","504"
"BHQ03C1","Planning Permissions Granted","20093","2009Q3","-","All types of construction","Number","6655"
"BHQ03C1","Planning Permissions Granted","20093","2009Q3","11","Dwellings","Number","2505"
"BHQ03C1","Planning Permissions Granted","20093","2009Q3","12","Other new construction (excluding dwellings)","Number","1218"
"BHQ03C1","Planning Permissions Granted","20093","2009Q3","2","Extensions","Number","2433"
"BHQ03C1","Planning Permissions Granted","20093","2009Q3","3","Alteration, conversion and renovation","Number","499"
"BHQ03C1","Planning Permissions Granted","20094","2009Q4","-","All types of construction","Number","5137"
"BHQ03C1","Planning Permissions Granted","20094","2009Q4","11","Dwellings","Number","1911"
"BHQ03C1","Planning Permissions Granted","20094","2009Q4","12","Other new construction (excluding dwellings)","Number","908"
"BHQ03C1","Planning Permissions Granted","20094","2009Q4","2","Extensions","Number","1885"
"BHQ03C1","Planning Permissions Granted","20094","2009Q4","3","Alteration, conversion and renovation","Number","433"
"BHQ03C1","Planning Permissions Granted","20101","2010Q1","-","All types of construction","Number","4519"
"BHQ03C1","Planning Permissions Granted","20101","2010Q1","11","Dwellings","Number","1768"
"BHQ03C1","Planning Permissions Granted","20101","2010Q1","12","Other new construction (excluding dwellings)","Number","775"
"BHQ03C1","Planning Permissions Granted","20101","2010Q1","2","Extensions","Number","1617"
"BHQ03C1","Planning Permissions Granted","20101","2010Q1","3","Alteration, conversion and renovation","Number","359"
"BHQ03C1","Planning Permissions Granted","20102","2010Q2","-","All types of construction","Number","4675"
"BHQ03C1","Planning Permissions Granted","20102","2010Q2","11","Dwellings","Number","1513"
"BHQ03C1","Planning Permissions Granted","20102","2010Q2","12","Other new construction (excluding dwellings)","Number","772"
"BHQ03C1","Planning Permissions Granted","20102","2010Q2","2","Extensions","Number","1996"
"BHQ03C1","Planning Permissions Granted","20102","2010Q2","3","Alteration, conversion and renovation","Number","394"
"BHQ03C1","Planning Permissions Granted","20103","2010Q3","-","All types of construction","Number","5272"
"BHQ03C1","Planning Permissions Granted","20103","2010Q3","11","Dwellings","Number","1634"
"BHQ03C1","Planning Permissions Granted","20103","2010Q3","12","Other new construction (excluding dwellings)","Number","866"
"BHQ03C1","Planning Permissions Granted","20103","2010Q3","2","Extensions","Number","2319"
"BHQ03C1","Planning Permissions Granted","20103","2010Q3","3","Alteration, conversion and renovation","Number","453"
"BHQ03C1","Planning Permissions Granted","20104","2010Q4","-","All types of construction","Number","4373"
"BHQ03C1","Planning Permissions Granted","20104","2010Q4","11","Dwellings","Number","1432"
"BHQ03C1","Planning Permissions Granted","20104","2010Q4","12","Other new construction (excluding dwellings)","Number","792"
"BHQ03C1","Planning Permissions Granted","20104","2010Q4","2","Extensions","Number","1778"
"BHQ03C1","Planning Permissions Granted","20104","2010Q4","3","Alteration, conversion and renovation","Number","371"
"BHQ03C1","Planning Permissions Granted","20111","2011Q1","-","All types of construction","Number","4019"
"BHQ03C1","Planning Permissions Granted","20111","2011Q1","11","Dwellings","Number","1277"
"BHQ03C1","Planning Permissions Granted","20111","2011Q1","12","Other new construction (excluding dwellings)","Number","700"
"BHQ03C1","Planning Permissions Granted","20111","2011Q1","2","Extensions","Number","1637"
"BHQ03C1","Planning Permissions Granted","20111","2011Q1","3","Alteration, conversion and renovation","Number","405"
"BHQ03C1","Planning Permissions Granted","20112","2011Q2","-","All types of construction","Number","4244"
"BHQ03C1","Planning Permissions Granted","20112","2011Q2","11","Dwellings","Number","1264"
"BHQ03C1","Planning Permissions Granted","20112","2011Q2","12","Other new construction (excluding dwellings)","Number","721"
"BHQ03C1","Planning Permissions Granted","20112","2011Q2","2","Extensions","Number","1866"
"BHQ03C1","Planning Permissions Granted","20112","2011Q2","3","Alteration, conversion and renovation","Number","393"
"BHQ03C1","Planning Permissions Granted","20113","2011Q3","-","All types of construction","Number","4446"
"BHQ03C1","Planning Permissions Granted","20113","2011Q3","11","Dwellings","Number","1271"
"BHQ03C1","Planning Permissions Granted","20113","2011Q3","12","Other new construction (excluding dwellings)","Number","862"
"BHQ03C1","Planning Permissions Granted","20113","2011Q3","2","Extensions","Number","1896"
"BHQ03C1","Planning Permissions Granted","20113","2011Q3","3","Alteration, conversion and renovation","Number","417"
"BHQ03C1","Planning Permissions Granted","20114","2011Q4","-","All types of construction","Number","3283"
"BHQ03C1","Planning Permissions Granted","20114","2011Q4","11","Dwellings","Number","955"
"BHQ03C1","Planning Permissions Granted","20114","2011Q4","12","Other new construction (excluding dwellings)","Number","681"
"BHQ03C1","Planning Permissions Granted","20114","2011Q4","2","Extensions","Number","1312"
"BHQ03C1","Planning Permissions Granted","20114","2011Q4","3","Alteration, conversion and renovation","Number","335"
"BHQ03C1","Planning Permissions Granted","20121","2012Q1","-","All types of construction","Number","3368"
"BHQ03C1","Planning Permissions Granted","20121","2012Q1","11","Dwellings","Number","957"
"BHQ03C1","Planning Permissions Granted","20121","2012Q1","12","Other new construction (excluding dwellings)","Number","695"
"BHQ03C1","Planning Permissions Granted","20121","2012Q1","2","Extensions","Number","1339"
"BHQ03C1","Planning Permissions Granted","20121","2012Q1","3","Alteration, conversion and renovation","Number","377"
"BHQ03C1","Planning Permissions Granted","20122","2012Q2","-","All types of construction","Number","3672"
"BHQ03C1","Planning Permissions Granted","20122","2012Q2","11","Dwellings","Number","942"
"BHQ03C1","Planning Permissions Granted","20122","2012Q2","12","Other new construction (excluding dwellings)","Number","828"
"BHQ03C1","Planning Permissions Granted","20122","2012Q2","2","Extensions","Number","1549"
"BHQ03C1","Planning Permissions Granted","20122","2012Q2","3","Alteration, conversion and renovation","Number","353"
"BHQ03C1","Planning Permissions Granted","20123","2012Q3","-","All types of construction","Number","4047"
"BHQ03C1","Planning Permissions Granted","20123","2012Q3","11","Dwellings","Number","907"
"BHQ03C1","Planning Permissions Granted","20123","2012Q3","12","Other new construction (excluding dwellings)","Number","1050"
"BHQ03C1","Planning Permissions Granted","20123","2012Q3","2","Extensions","Number","1680"
"BHQ03C1","Planning Permissions Granted","20123","2012Q3","3","Alteration, conversion and renovation","Number","410"
"BHQ03C1","Planning Permissions Granted","20124","2012Q4","-","All types of construction","Number","3320"
"BHQ03C1","Planning Permissions Granted","20124","2012Q4","11","Dwellings","Number","837"
"BHQ03C1","Planning Permissions Granted","20124","2012Q4","12","Other new construction (excluding dwellings)","Number","834"
"BHQ03C1","Planning Permissions Granted","20124","2012Q4","2","Extensions","Number","1341"
"BHQ03C1","Planning Permissions Granted","20124","2012Q4","3","Alteration, conversion and renovation","Number","308"
"BHQ03C1","Planning Permissions Granted","20131","2013Q1","-","All types of construction","Number","3275"
"BHQ03C1","Planning Permissions Granted","20131","2013Q1","11","Dwellings","Number","862"
"BHQ03C1","Planning Permissions Granted","20131","2013Q1","12","Other new construction (excluding dwellings)","Number","785"
"BHQ03C1","Planning Permissions Granted","20131","2013Q1","2","Extensions","Number","1296"
"BHQ03C1","Planning Permissions Granted","20131","2013Q1","3","Alteration, conversion and renovation","Number","332"
"BHQ03C1","Planning Permissions Granted","20132","2013Q2","-","All types of construction","Number","3368"
"BHQ03C1","Planning Permissions Granted","20132","2013Q2","11","Dwellings","Number","772"
"BHQ03C1","Planning Permissions Granted","20132","2013Q2","12","Other new construction (excluding dwellings)","Number","754"
"BHQ03C1","Planning Permissions Granted","20132","2013Q2","2","Extensions","Number","1489"
"BHQ03C1","Planning Permissions Granted","20132","2013Q2","3","Alteration, conversion and renovation","Number","353"
"BHQ03C1","Planning Permissions Granted","20133","2013Q3","-","All types of construction","Number","3875"
"BHQ03C1","Planning Permissions Granted","20133","2013Q3","11","Dwellings","Number","931"
"BHQ03C1","Planning Permissions Granted","20133","2013Q3","12","Other new construction (excluding dwellings)","Number","904"
"BHQ03C1","Planning Permissions Granted","20133","2013Q3","2","Extensions","Number","1665"
"BHQ03C1","Planning Permissions Granted","20133","2013Q3","3","Alteration, conversion and renovation","Number","375"
"BHQ03C1","Planning Permissions Granted","20134","2013Q4","-","All types of construction","Number","3383"
"BHQ03C1","Planning Permissions Granted","20134","2013Q4","11","Dwellings","Number","751"
"BHQ03C1","Planning Permissions Granted","20134","2013Q4","12","Other new construction (excluding dwellings)","Number","988"
"BHQ03C1","Planning Permissions Granted","20134","2013Q4","2","Extensions","Number","1245"
"BHQ03C1","Planning Permissions Granted","20134","2013Q4","3","Alteration, conversion and renovation","Number","399"
"BHQ03C1","Planning Permissions Granted","20141","2014Q1","-","All types of construction","Number","3833"
"BHQ03C1","Planning Permissions Granted","20141","2014Q1","11","Dwellings","Number","891"
"BHQ03C1","Planning Permissions Granted","20141","2014Q1","12","Other new construction (excluding dwellings)","Number","1006"
"BHQ03C1","Planning Permissions Granted","20141","2014Q1","2","Extensions","Number","1396"
"BHQ03C1","Planning Permissions Granted","20141","2014Q1","3","Alteration, conversion and renovation","Number","540"
"BHQ03C1","Planning Permissions Granted","20142","2014Q2","-","All types of construction","Number","4149"
