"STATISTIC","Statistic Label","TLIST(M1)","Month","C01947V02657","Local Authority","C02424V02930","Residential Units Commenced","UNIT","VALUE"
"HSM13","Commencement Notices","201505","2015 May","91","Waterford City and County","05","Number of one-off residential units","Number","6"
"HSM13","Commencement Notices","201505","2015 May","92","Tipperary County","03","Number of notices for residential development","Number","10"
"HSM13","Commencement Notices","201505","2015 May","92","Tipperary County","04","Number of residential units","Number","10"
"HSM13","Commencement Notices","201505","2015 May","92","Tipperary County","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201506","2015 June","01","Carlow (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201506","2015 June","01","Carlow (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201506","2015 June","01","Carlow (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201506","2015 June","02","Cavan (County Council)","03","Number of notices for residential development","Number","6"
"HSM13","Commencement Notices","201506","2015 June","02","Cavan (County Council)","04","Number of residential units","Number","6"
"HSM13","Commencement Notices","201506","2015 June","02","Cavan (County Council)","05","Number of one-off residential units","Number","6"
"HSM13","Commencement Notices","201506","2015 June","03","Clare (County Council)","03","Number of notices for residential development","Number","10"
"HSM13","Commencement Notices","201506","2015 June","03","Clare (County Council)","04","Number of residential units","Number","10"
"HSM13","Commencement Notices","201506","2015 June","03","Clare (County Council)","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201506","2015 June","04","Cork (County Council)","03","Number of notices for residential development","Number","44"
"HSM13","Commencement Notices","201506","2015 June","04","Cork (County Council)","04","Number of residential units","Number","73"
"HSM13","Commencement Notices","201506","2015 June","04","Cork (County Council)","05","Number of one-off residential units","Number","37"
"HSM13","Commencement Notices","201506","2015 June","05","Donegal (County Council)","03","Number of notices for residential development","Number","21"
"HSM13","Commencement Notices","201506","2015 June","05","Donegal (County Council)","04","Number of residential units","Number","21"
"HSM13","Commencement Notices","201506","2015 June","05","Donegal (County Council)","05","Number of one-off residential units","Number","21"
"HSM13","Commencement Notices","201506","2015 June","06","Fingal (County Council)","03","Number of notices for residential development","Number","20"
"HSM13","Commencement Notices","201506","2015 June","06","Fingal (County Council)","04","Number of residential units","Number","175"
"HSM13","Commencement Notices","201506","2015 June","06","Fingal (County Council)","05","Number of one-off residential units","Number","14"
"HSM13","Commencement Notices","201506","2015 June","07","Galway (County Council)","03","Number of notices for residential development","Number","31"
"HSM13","Commencement Notices","201506","2015 June","07","Galway (County Council)","04","Number of residential units","Number","60"
"HSM13","Commencement Notices","201506","2015 June","07","Galway (County Council)","05","Number of one-off residential units","Number","29"
"HSM13","Commencement Notices","201506","2015 June","08","Kerry (County Council)","03","Number of notices for residential development","Number","14"
"HSM13","Commencement Notices","201506","2015 June","08","Kerry (County Council)","04","Number of residential units","Number","15"
"HSM13","Commencement Notices","201506","2015 June","08","Kerry (County Council)","05","Number of one-off residential units","Number","13"
"HSM13","Commencement Notices","201506","2015 June","09","Kildare (County Council)","03","Number of notices for residential development","Number","18"
"HSM13","Commencement Notices","201506","2015 June","09","Kildare (County Council)","04","Number of residential units","Number","89"
"HSM13","Commencement Notices","201506","2015 June","09","Kildare (County Council)","05","Number of one-off residential units","Number","16"
"HSM13","Commencement Notices","201506","2015 June","10","Kilkenny (County Council)","03","Number of notices for residential development","Number","9"
"HSM13","Commencement Notices","201506","2015 June","10","Kilkenny (County Council)","04","Number of residential units","Number","9"
"HSM13","Commencement Notices","201506","2015 June","10","Kilkenny (County Council)","05","Number of one-off residential units","Number","9"
"HSM13","Commencement Notices","201506","2015 June","11","Laois (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201506","2015 June","11","Laois (County Council)","04","Number of residential units","Number","9"
"HSM13","Commencement Notices","201506","2015 June","11","Laois (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201506","2015 June","12","Leitrim (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201506","2015 June","12","Leitrim (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","12","Leitrim (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","14","Longford (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201506","2015 June","14","Longford (County Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201506","2015 June","14","Longford (County Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201506","2015 June","15","Louth (County Council)","03","Number of notices for residential development","Number","15"
"HSM13","Commencement Notices","201506","2015 June","15","Louth (County Council)","04","Number of residential units","Number","19"
"HSM13","Commencement Notices","201506","2015 June","15","Louth (County Council)","05","Number of one-off residential units","Number","12"
"HSM13","Commencement Notices","201506","2015 June","16","Mayo (County Council)","03","Number of notices for residential development","Number","12"
"HSM13","Commencement Notices","201506","2015 June","16","Mayo (County Council)","04","Number of residential units","Number","13"
"HSM13","Commencement Notices","201506","2015 June","16","Mayo (County Council)","05","Number of one-off residential units","Number","11"
"HSM13","Commencement Notices","201506","2015 June","17","Meath (County Council)","03","Number of notices for residential development","Number","17"
"HSM13","Commencement Notices","201506","2015 June","17","Meath (County Council)","04","Number of residential units","Number","19"
"HSM13","Commencement Notices","201506","2015 June","17","Meath (County Council)","05","Number of one-off residential units","Number","16"
"HSM13","Commencement Notices","201506","2015 June","18","Monaghan (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201506","2015 June","18","Monaghan (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","18","Monaghan (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","19","Offaly (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201506","2015 June","19","Offaly (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201506","2015 June","19","Offaly (County Council)","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201506","2015 June","20","Roscommon (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201506","2015 June","20","Roscommon (County Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201506","2015 June","20","Roscommon (County Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201506","2015 June","21","Sligo (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201506","2015 June","21","Sligo (County Council)","04","Number of residential units","Number","6"
"HSM13","Commencement Notices","201506","2015 June","21","Sligo (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","25","Westmeath (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201506","2015 June","25","Westmeath (County Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201506","2015 June","25","Westmeath (County Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201506","2015 June","26","Wexford (County Council)","03","Number of notices for residential development","Number","18"
"HSM13","Commencement Notices","201506","2015 June","26","Wexford (County Council)","04","Number of residential units","Number","18"
"HSM13","Commencement Notices","201506","2015 June","26","Wexford (County Council)","05","Number of one-off residential units","Number","18"
"HSM13","Commencement Notices","201506","2015 June","27","Wicklow (County Council)","03","Number of notices for residential development","Number","10"
"HSM13","Commencement Notices","201506","2015 June","27","Wicklow (County Council)","04","Number of residential units","Number","10"
"HSM13","Commencement Notices","201506","2015 June","27","Wicklow (County Council)","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201506","2015 June","29","Cork (City Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201506","2015 June","29","Cork (City Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201506","2015 June","29","Cork (City Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201506","2015 June","30","Dublin (City Council)","03","Number of notices for residential development","Number","14"
"HSM13","Commencement Notices","201506","2015 June","30","Dublin (City Council)","04","Number of residential units","Number","109"
"HSM13","Commencement Notices","201506","2015 June","30","Dublin (City Council)","05","Number of one-off residential units","Number","7"
"HSM13","Commencement Notices","201506","2015 June","32","Dun Laoire/Rathdown (County Council)","03","Number of notices for residential development","Number","8"
"HSM13","Commencement Notices","201506","2015 June","32","Dun Laoire/Rathdown (County Council)","04","Number of residential units","Number","8"
"HSM13","Commencement Notices","201506","2015 June","32","Dun Laoire/Rathdown (County Council)","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201506","2015 June","33","Galway (City Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201506","2015 June","33","Galway (City Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201506","2015 June","33","Galway (City Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201506","2015 June","88","South Dublin Co. Co. (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201506","2015 June","88","South Dublin Co. Co. (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","88","South Dublin Co. Co. (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201506","2015 June","90","Limerick City and County","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201506","2015 June","90","Limerick City and County","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201506","2015 June","90","Limerick City and County","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201506","2015 June","91","Waterford City and County","03","Number of notices for residential development","Number","6"
"HSM13","Commencement Notices","201506","2015 June","91","Waterford City and County","04","Number of residential units","Number","24"
"HSM13","Commencement Notices","201506","2015 June","91","Waterford City and County","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201506","2015 June","92","Tipperary County","03","Number of notices for residential development","Number","11"
"HSM13","Commencement Notices","201506","2015 June","92","Tipperary County","04","Number of residential units","Number","13"
"HSM13","Commencement Notices","201506","2015 June","92","Tipperary County","05","Number of one-off residential units","Number","9"
"HSM13","Commencement Notices","201507","2015 July","01","Carlow (County Council)","03","Number of notices for residential development","Number","8"
"HSM13","Commencement Notices","201507","2015 July","01","Carlow (County Council)","04","Number of residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","01","Carlow (County Council)","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","02","Cavan (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201507","2015 July","02","Cavan (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201507","2015 July","02","Cavan (County Council)","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201507","2015 July","03","Clare (County Council)","03","Number of notices for residential development","Number","8"
"HSM13","Commencement Notices","201507","2015 July","03","Clare (County Council)","04","Number of residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","03","Clare (County Council)","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","04","Cork (County Council)","03","Number of notices for residential development","Number","51"
"HSM13","Commencement Notices","201507","2015 July","04","Cork (County Council)","04","Number of residential units","Number","53"
"HSM13","Commencement Notices","201507","2015 July","04","Cork (County Council)","05","Number of one-off residential units","Number","49"
"HSM13","Commencement Notices","201507","2015 July","05","Donegal (County Council)","03","Number of notices for residential development","Number","19"
"HSM13","Commencement Notices","201507","2015 July","05","Donegal (County Council)","04","Number of residential units","Number","19"
"HSM13","Commencement Notices","201507","2015 July","05","Donegal (County Council)","05","Number of one-off residential units","Number","19"
"HSM13","Commencement Notices","201507","2015 July","06","Fingal (County Council)","03","Number of notices for residential development","Number","33"
"HSM13","Commencement Notices","201507","2015 July","06","Fingal (County Council)","04","Number of residential units","Number","240"
"HSM13","Commencement Notices","201507","2015 July","06","Fingal (County Council)","05","Number of one-off residential units","Number","23"
"HSM13","Commencement Notices","201507","2015 July","07","Galway (County Council)","03","Number of notices for residential development","Number","25"
"HSM13","Commencement Notices","201507","2015 July","07","Galway (County Council)","04","Number of residential units","Number","25"
"HSM13","Commencement Notices","201507","2015 July","07","Galway (County Council)","05","Number of one-off residential units","Number","25"
"HSM13","Commencement Notices","201507","2015 July","08","Kerry (County Council)","03","Number of notices for residential development","Number","16"
"HSM13","Commencement Notices","201507","2015 July","08","Kerry (County Council)","04","Number of residential units","Number","20"
"HSM13","Commencement Notices","201507","2015 July","08","Kerry (County Council)","05","Number of one-off residential units","Number","15"
"HSM13","Commencement Notices","201507","2015 July","09","Kildare (County Council)","03","Number of notices for residential development","Number","19"
"HSM13","Commencement Notices","201507","2015 July","09","Kildare (County Council)","04","Number of residential units","Number","50"
"HSM13","Commencement Notices","201507","2015 July","09","Kildare (County Council)","05","Number of one-off residential units","Number","16"
"HSM13","Commencement Notices","201507","2015 July","10","Kilkenny (County Council)","03","Number of notices for residential development","Number","8"
"HSM13","Commencement Notices","201507","2015 July","10","Kilkenny (County Council)","04","Number of residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","10","Kilkenny (County Council)","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","11","Laois (County Council)","03","Number of notices for residential development","Number","7"
"HSM13","Commencement Notices","201507","2015 July","11","Laois (County Council)","04","Number of residential units","Number","7"
"HSM13","Commencement Notices","201507","2015 July","11","Laois (County Council)","05","Number of one-off residential units","Number","7"
"HSM13","Commencement Notices","201507","2015 July","12","Leitrim (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201507","2015 July","12","Leitrim (County Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201507","2015 July","12","Leitrim (County Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201507","2015 July","14","Longford (County Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201507","2015 July","14","Longford (County Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201507","2015 July","14","Longford (County Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201507","2015 July","15","Louth (County Council)","03","Number of notices for residential development","Number","13"
"HSM13","Commencement Notices","201507","2015 July","15","Louth (County Council)","04","Number of residential units","Number","15"
"HSM13","Commencement Notices","201507","2015 July","15","Louth (County Council)","05","Number of one-off residential units","Number","12"
"HSM13","Commencement Notices","201507","2015 July","16","Mayo (County Council)","03","Number of notices for residential development","Number","14"
"HSM13","Commencement Notices","201507","2015 July","16","Mayo (County Council)","04","Number of residential units","Number","14"
"HSM13","Commencement Notices","201507","2015 July","16","Mayo (County Council)","05","Number of one-off residential units","Number","14"
"HSM13","Commencement Notices","201507","2015 July","17","Meath (County Council)","03","Number of notices for residential development","Number","21"
"HSM13","Commencement Notices","201507","2015 July","17","Meath (County Council)","04","Number of residential units","Number","36"
"HSM13","Commencement Notices","201507","2015 July","17","Meath (County Council)","05","Number of one-off residential units","Number","17"
"HSM13","Commencement Notices","201507","2015 July","18","Monaghan (County Council)","03","Number of notices for residential development","Number","9"
"HSM13","Commencement Notices","201507","2015 July","18","Monaghan (County Council)","04","Number of residential units","Number","9"
"HSM13","Commencement Notices","201507","2015 July","18","Monaghan (County Council)","05","Number of one-off residential units","Number","9"
"HSM13","Commencement Notices","201507","2015 July","19","Offaly (County Council)","03","Number of notices for residential development","Number","7"
"HSM13","Commencement Notices","201507","2015 July","19","Offaly (County Council)","04","Number of residential units","Number","7"
"HSM13","Commencement Notices","201507","2015 July","19","Offaly (County Council)","05","Number of one-off residential units","Number","7"
"HSM13","Commencement Notices","201507","2015 July","20","Roscommon (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201507","2015 July","20","Roscommon (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201507","2015 July","20","Roscommon (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201507","2015 July","21","Sligo (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201507","2015 July","21","Sligo (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201507","2015 July","21","Sligo (County Council)","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201507","2015 July","25","Westmeath (County Council)","03","Number of notices for residential development","Number","7"
"HSM13","Commencement Notices","201507","2015 July","25","Westmeath (County Council)","04","Number of residential units","Number","7"
"HSM13","Commencement Notices","201507","2015 July","25","Westmeath (County Council)","05","Number of one-off residential units","Number","7"
"HSM13","Commencement Notices","201507","2015 July","26","Wexford (County Council)","03","Number of notices for residential development","Number","13"
"HSM13","Commencement Notices","201507","2015 July","26","Wexford (County Council)","04","Number of residential units","Number","13"
"HSM13","Commencement Notices","201507","2015 July","26","Wexford (County Council)","05","Number of one-off residential units","Number","13"
"HSM13","Commencement Notices","201507","2015 July","27","Wicklow (County Council)","03","Number of notices for residential development","Number","13"
"HSM13","Commencement Notices","201507","2015 July","27","Wicklow (County Council)","04","Number of residential units","Number","35"
"HSM13","Commencement Notices","201507","2015 July","27","Wicklow (County Council)","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","29","Cork (City Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201507","2015 July","29","Cork (City Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201507","2015 July","29","Cork (City Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201507","2015 July","30","Dublin (City Council)","03","Number of notices for residential development","Number","14"
"HSM13","Commencement Notices","201507","2015 July","30","Dublin (City Council)","04","Number of residential units","Number","202"
"HSM13","Commencement Notices","201507","2015 July","30","Dublin (City Council)","05","Number of one-off residential units","Number","6"
"HSM13","Commencement Notices","201507","2015 July","32","Dun Laoire/Rathdown (County Council)","03","Number of notices for residential development","Number","12"
"HSM13","Commencement Notices","201507","2015 July","32","Dun Laoire/Rathdown (County Council)","04","Number of residential units","Number","112"
"HSM13","Commencement Notices","201507","2015 July","32","Dun Laoire/Rathdown (County Council)","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201507","2015 July","33","Galway (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201507","2015 July","33","Galway (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201507","2015 July","33","Galway (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201507","2015 July","88","South Dublin Co. Co. (County Council)","03","Number of notices for residential development","Number","7"
"HSM13","Commencement Notices","201507","2015 July","88","South Dublin Co. Co. (County Council)","04","Number of residential units","Number","51"
"HSM13","Commencement Notices","201507","2015 July","88","South Dublin Co. Co. (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201507","2015 July","90","Limerick City and County","03","Number of notices for residential development","Number","11"
"HSM13","Commencement Notices","201507","2015 July","90","Limerick City and County","04","Number of residential units","Number","29"
"HSM13","Commencement Notices","201507","2015 July","90","Limerick City and County","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201507","2015 July","91","Waterford City and County","03","Number of notices for residential development","Number","12"
"HSM13","Commencement Notices","201507","2015 July","91","Waterford City and County","04","Number of residential units","Number","13"
"HSM13","Commencement Notices","201507","2015 July","91","Waterford City and County","05","Number of one-off residential units","Number","11"
"HSM13","Commencement Notices","201507","2015 July","92","Tipperary County","03","Number of notices for residential development","Number","10"
"HSM13","Commencement Notices","201507","2015 July","92","Tipperary County","04","Number of residential units","Number","10"
"HSM13","Commencement Notices","201507","2015 July","92","Tipperary County","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201508","2015 August","01","Carlow (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201508","2015 August","01","Carlow (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","01","Carlow (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","02","Cavan (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201508","2015 August","02","Cavan (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201508","2015 August","02","Cavan (County Council)","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201508","2015 August","03","Clare (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201508","2015 August","03","Clare (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201508","2015 August","03","Clare (County Council)","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201508","2015 August","04","Cork (County Council)","03","Number of notices for residential development","Number","61"
"HSM13","Commencement Notices","201508","2015 August","04","Cork (County Council)","04","Number of residential units","Number","94"
"HSM13","Commencement Notices","201508","2015 August","04","Cork (County Council)","05","Number of one-off residential units","Number","57"
"HSM13","Commencement Notices","201508","2015 August","05","Donegal (County Council)","03","Number of notices for residential development","Number","18"
"HSM13","Commencement Notices","201508","2015 August","05","Donegal (County Council)","04","Number of residential units","Number","18"
"HSM13","Commencement Notices","201508","2015 August","05","Donegal (County Council)","05","Number of one-off residential units","Number","18"
"HSM13","Commencement Notices","201508","2015 August","06","Fingal (County Council)","03","Number of notices for residential development","Number","10"
"HSM13","Commencement Notices","201508","2015 August","06","Fingal (County Council)","04","Number of residential units","Number","64"
"HSM13","Commencement Notices","201508","2015 August","06","Fingal (County Council)","05","Number of one-off residential units","Number","6"
"HSM13","Commencement Notices","201508","2015 August","07","Galway (County Council)","03","Number of notices for residential development","Number","11"
"HSM13","Commencement Notices","201508","2015 August","07","Galway (County Council)","04","Number of residential units","Number","30"
"HSM13","Commencement Notices","201508","2015 August","07","Galway (County Council)","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201508","2015 August","08","Kerry (County Council)","03","Number of notices for residential development","Number","16"
"HSM13","Commencement Notices","201508","2015 August","08","Kerry (County Council)","04","Number of residential units","Number","23"
"HSM13","Commencement Notices","201508","2015 August","08","Kerry (County Council)","05","Number of one-off residential units","Number","15"
"HSM13","Commencement Notices","201508","2015 August","09","Kildare (County Council)","03","Number of notices for residential development","Number","18"
"HSM13","Commencement Notices","201508","2015 August","09","Kildare (County Council)","04","Number of residential units","Number","49"
"HSM13","Commencement Notices","201508","2015 August","09","Kildare (County Council)","05","Number of one-off residential units","Number","15"
"HSM13","Commencement Notices","201508","2015 August","10","Kilkenny (County Council)","03","Number of notices for residential development","Number","11"
"HSM13","Commencement Notices","201508","2015 August","10","Kilkenny (County Council)","04","Number of residential units","Number","14"
"HSM13","Commencement Notices","201508","2015 August","10","Kilkenny (County Council)","05","Number of one-off residential units","Number","10"
"HSM13","Commencement Notices","201508","2015 August","11","Laois (County Council)","03","Number of notices for residential development","Number","8"
"HSM13","Commencement Notices","201508","2015 August","11","Laois (County Council)","04","Number of residential units","Number","9"
"HSM13","Commencement Notices","201508","2015 August","11","Laois (County Council)","05","Number of one-off residential units","Number","7"
"HSM13","Commencement Notices","201508","2015 August","12","Leitrim (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201508","2015 August","12","Leitrim (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201508","2015 August","12","Leitrim (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201508","2015 August","14","Longford (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201508","2015 August","14","Longford (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","14","Longford (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","15","Louth (County Council)","03","Number of notices for residential development","Number","8"
"HSM13","Commencement Notices","201508","2015 August","15","Louth (County Council)","04","Number of residential units","Number","8"
"HSM13","Commencement Notices","201508","2015 August","15","Louth (County Council)","05","Number of one-off residential units","Number","8"
"HSM13","Commencement Notices","201508","2015 August","16","Mayo (County Council)","03","Number of notices for residential development","Number","19"
"HSM13","Commencement Notices","201508","2015 August","16","Mayo (County Council)","04","Number of residential units","Number","19"
"HSM13","Commencement Notices","201508","2015 August","16","Mayo (County Council)","05","Number of one-off residential units","Number","19"
"HSM13","Commencement Notices","201508","2015 August","17","Meath (County Council)","03","Number of notices for residential development","Number","13"
"HSM13","Commencement Notices","201508","2015 August","17","Meath (County Council)","04","Number of residential units","Number","41"
"HSM13","Commencement Notices","201508","2015 August","17","Meath (County Council)","05","Number of one-off residential units","Number","11"
"HSM13","Commencement Notices","201508","2015 August","18","Monaghan (County Council)","03","Number of notices for residential development","Number","6"
"HSM13","Commencement Notices","201508","2015 August","18","Monaghan (County Council)","04","Number of residential units","Number","6"
"HSM13","Commencement Notices","201508","2015 August","18","Monaghan (County Council)","05","Number of one-off residential units","Number","6"
"HSM13","Commencement Notices","201508","2015 August","19","Offaly (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201508","2015 August","19","Offaly (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","19","Offaly (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","20","Roscommon (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201508","2015 August","20","Roscommon (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","20","Roscommon (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","21","Sligo (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201508","2015 August","21","Sligo (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201508","2015 August","21","Sligo (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201508","2015 August","25","Westmeath (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201508","2015 August","25","Westmeath (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","25","Westmeath (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201508","2015 August","26","Wexford (County Council)","03","Number of notices for residential development","Number","11"
"HSM13","Commencement Notices","201508","2015 August","26","Wexford (County Council)","04","Number of residential units","Number","11"
"HSM13","Commencement Notices","201508","2015 August","26","Wexford (County Council)","05","Number of one-off residential units","Number","11"
"HSM13","Commencement Notices","201508","2015 August","27","Wicklow (County Council)","03","Number of notices for residential development","Number","13"
"HSM13","Commencement Notices","201508","2015 August","27","Wicklow (County Council)","04","Number of residential units","Number","45"
"HSM13","Commencement Notices","201508","2015 August","27","Wicklow (County Council)","05","Number of one-off residential units","Number","11"
"HSM13","Commencement Notices","201508","2015 August","29","Cork (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201508","2015 August","29","Cork (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201508","2015 August","29","Cork (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201508","2015 August","30","Dublin (City Council)","03","Number of notices for residential development","Number","6"
"HSM13","Commencement Notices","201508","2015 August","30","Dublin (City Council)","04","Number of residential units","Number","38"
"HSM13","Commencement Notices","201508","2015 August","30","Dublin (City Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201508","2015 August","32","Dun Laoire/Rathdown (County Council)","03","Number of notices for residential development","Number","14"
"HSM13","Commencement Notices","201508","2015 August","32","Dun Laoire/Rathdown (County Council)","04","Number of residential units","Number","106"
"HSM13","Commencement Notices","201508","2015 August","32","Dun Laoire/Rathdown (County Council)","05","Number of one-off residential units","Number","7"
"HSM13","Commencement Notices","201508","2015 August","33","Galway (City Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201508","2015 August","33","Galway (City Council)","04","Number of residential units","Number","8"
"HSM13","Commencement Notices","201508","2015 August","33","Galway (City Council)","05","Number of one-off residential units","Number","1"
