"STATISTIC","Statistic Label","TLIST(M1)","Month","C01947V02657","Local Authority","C02424V02930","Residential Units Commenced","UNIT","VALUE"
"HSM13","Commencement Notices","201403","2014 March","19","Offaly (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","20","Roscommon (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","20","Roscommon (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","20","Roscommon (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","21","Sligo (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","21","Sligo (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","21","Sligo (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","25","Westmeath (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","25","Westmeath (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","25","Westmeath (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","26","Wexford (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201403","2014 March","26","Wexford (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201403","2014 March","26","Wexford (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201403","2014 March","27","Wicklow (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","27","Wicklow (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","27","Wicklow (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","29","Cork (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","29","Cork (City Council)","04","Number of residential units","Number","0"
